image_id,question,predicted_answer,ground_truth_answers,vqa_accuracy
106849,What kind of store are they in?,wine,wine|liquor|wint store|liquor|liquor|liquor|liquor|liquor|liquor|wine store,0.3333333333333333
239130,What is the man riding?,bike,bike|bike|bike|biking|bicycle|bicycle|bike|riding bike|bicycle|bike,1.0
429530,What kind of flowers are in the picture?,roses,hydrangeas|peony|pink carnations|carnations|artificial|hydrangeas|roses|carnation|peonies|peonies,0.3333333333333333
172087,Does this look like a formal outfit?,yes,no|no|no|no|no|no|no|no|no|no,0.0
335827,How many rooms in this building?,1,3|10|5|3|3|1|3|3|6|3,0.3333333333333333
127119,How is the bike standing up?,stable,kickstand|stand|kickstand|no|yes|kickstand|kickstand|kickstand|kickstand|with kickstand,0.0
253282,What is the shape of the cake stand?,triangle,heart|heart|heart|round|heart|heart|oval|heart|heart|heart,0.0
446053,Who looks the most like Santa Claus?,an,man on left|man on left|man with red jacket|man on left|left|man on left|man in red|man on left|man on right|man on left,0.0
527578,Is there a TV in the room?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
135756,How is the girls hair styled?,braided,braided|braid|french braid|braided|braided|braid|braided|braid|french braids|french braid pigtails,1.0
563641,Is the man going to jump off the train?,no,no|no|yes|no|no|no|no|no|no|no,1.0
217039,Is the sky clear?,yes,no|yes|yes|no|yes|no|yes|yes|no|no,1.0
359238,What color is the man's shirt?,blue,yellow|yellow|yellow|yellow|yellow|yellow|yellow|yellow|yellow|yellow,0.0
109939,What is the number on the front of the bus?,1,38|38|38|38|38|38|38|38|38|38,0.0
492878,What sink is this?,closet,bathroom|bathroom|bathroom|bathroom|bathroom|bathroom sink|bathroom|bathroom|bathroom|bathroom,0.0
259233,What nut is used in this dish?,peanut,cashews|cashew|cashew|can't tell|peanut|peanut|cashew|cashew|groundnut|cashew,0.6666666666666666
291394,Could you drink the water in the canal?,yes,no|no|no|no|no|no|no|no|no|no,0.0
411938,What does the man have in his hand?,beer,bear|teddy bear|beer|bear|teddy bear|teddy bear|beer|bear|bear|teddy bear,0.6666666666666666
134886,Is this a propeller plane?,yes,no|no|no|no|no|no|no|yes|no|no,0.3333333333333333
503101,Who is wearing glasses?,man,woman|woman|woman|woman|woman|woman|girl|woman|girl|woman,0.0
184978,How much of the skier's body is covered in green?,100,top part|half|top|half|0|legs|0|0|0|0,0.0
